idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs	meaning encoded	example encoded
(have) egg on your face	["You will have egg on your face if you've said or done something wrong, and it's made you feel embarrassed or stupid.",""]	["Stan had egg on his face after saying he could easily do fifty push-ups, and then giving up after doing just twenty.","The police force had egg on its face because they arrested and beat up an innocent guy who had the same name as a suspect they were looking for."]				body,e,food	(have) egg on your face	["You%20will%20have%20egg%20on%20your%20face%20if%20you%27ve%20said%20or%20done%20something%20wrong%2C%20and%20it%27s%20made%20you%20feel%20embarrassed%20or%20stupid.",""]	["Stan%20had%20egg%20on%20his%20face%20after%20saying%20he%20could%20easily%20do%20fifty%20push-ups%2C%20and%20then%20giving%20up%20after%20doing%20just%20twenty.","The%20police%20force%20had%20egg%20on%20its%20face%20because%20they%20arrested%20and%20beat%20up%20an%20innocent%20guy%20who%20had%20the%20same%20name%20as%20a%20suspect%20they%20were%20looking%20for."]
(it's) raining cats and dogs	["You can say \"it's raining cats and dogs\" if it's raining very hard.",""]	["We can't go now because it's raining cats and dogs.","Why do people always use \"it's raining cats and dogs\" as an example of an idiom? No-one actually uses it any more, do they?"]	The first time this phrase appeared in print was in Jonathan Swift's A Complete Collection of Genteel and Ingenious Conversation in 1738, in which he wrote, "I know Sir John will go, though he was sure it would rain cats and dogs". The phrase's source before this time remains a mystery, despite the many theories that have been put forward to explain its origin.			animals,r,weather	(it's) raining cats and dogs	["You%20can%20say%20%5C%22it%27s%20raining%20cats%20and%20dogs%5C%22%20if%20it%27s%20raining%20very%20hard.",""]	["We%20can%27t%20go%20now%20because%20it%27s%20raining%20cats%20and%20dogs.","Why%20do%20people%20always%20use%20%5C%22it%27s%20raining%20cats%20and%20dogs%5C%22%20as%20an%20example%20of%20an%20idiom%3F%20No-one%20actually%20uses%20it%20any%20more%2C%20do%20they%3F"]
(it) stands to reason	["You can say it stands to reason that something should be so if it seems reasonable to you that it should be so.",""]	["If you eat good food and get plenty of exercise it stands to reason that you'll have a good chance of living to a ripe old age.","It stands to reason that kids who study the hardest get the best grades."]				s	(it) stands to reason	["You%20can%20say%20it%20stands%20to%20reason%20that%20something%20should%20be%20so%20if%20it%20seems%20reasonable%20to%20you%20that%20it%20should%20be%20so.",""]	["If%20you%20eat%20good%20food%20and%20get%20plenty%20of%20exercise%20it%20stands%20to%20reason%20that%20you%27ll%20have%20a%20good%20chance%20of%20living%20to%20a%20ripe%20old%20age.","It%20stands%20to%20reason%20that%20kids%20who%20study%20the%20hardest%20get%20the%20best%20grades."]
(like) water off a duck's back	["You can say an insult or criticism is like water off a duck's back if it doesn't upset you.",""]	["I asked Amy if she got upset when journalists wrote negative things about her, and she said she didn't care what they wrote - it was like water off a duck's back.","Terry said he was too sensitive about criticism and he wanted to be like one of those people for whom it's like water off a duck's back."]	Probably related to the fact that ducks have oily feathers and water can't get through them, so  water runs off their backs. In the same way, criticism can either get through to someone and upset them, or not get through to them and not upset them, and be "like water off a duck's back."			animals,w	(like) water off a duck's back	["You%20can%20say%20an%20insult%20or%20criticism%20is%20like%20water%20off%20a%20duck%27s%20back%20if%20it%20doesn%27t%20upset%20you.",""]	["I%20asked%20Amy%20if%20she%20got%20upset%20when%20journalists%20wrote%20negative%20things%20about%20her%2C%20and%20she%20said%20she%20didn%27t%20care%20what%20they%20wrote%20-%20it%20was%20like%20water%20off%20a%20duck%27s%20back.","Terry%20said%20he%20was%20too%20sensitive%20about%20criticism%20and%20he%20wanted%20to%20be%20like%20one%20of%20those%20people%20for%20whom%20it%27s%20like%20water%20off%20a%20duck%27s%20back."]
(someone's) name is mud	["If someone's name is mud, other people are angry with them, or they're no longer popular, because they've done something wrong.",""]	["Ian's name is mud now because everyone thinks he was the one who stole the money.","If any athletes test positive for a banned substance, their name will be mud."]				n	(someone's) name is mud	["If%20someone%27s%20name%20is%20mud%2C%20other%20people%20are%20angry%20with%20them%2C%20or%20they%27re%20no%20longer%20popular%2C%20because%20they%27ve%20done%20something%20wrong.",""]	["Ian%27s%20name%20is%20mud%20now%20because%20everyone%20thinks%20he%20was%20the%20one%20who%20stole%20the%20money.","If%20any%20athletes%20test%20positive%20for%20a%20banned%20substance%2C%20their%20name%20will%20be%20mud."]
(something) escapes you	["If you say something escapes you, it means you can't remember it.",""]	["I'm really sorry, but your name escapes me at the moment. Could you tell me again please?","Kim said he knew the song really well, but the name of the band that had recorded it escaped him."]				e	(something) escapes you	["If%20you%20say%20something%20escapes%20you%2C%20it%20means%20you%20can%27t%20remember%20it.",""]	["I%27m%20really%20sorry%2C%20but%20your%20name%20escapes%20me%20at%20the%20moment.%20Could%20you%20tell%20me%20again%20please%3F","Kim%20said%20he%20knew%20the%20song%20really%20well%2C%20but%20the%20name%20of%20the%20band%20that%20had%20recorded%20it%20escaped%20him."]
(something) occurs to you	["If something occurs to you, you think of it.",""]	["I was surprised when I heard that Anne had quit. It had never occurred to me that she wasn't happy working here.","Has it ever occurred to you that your daughter's happiness is more important than what your friends might think if they know she's gay?"]				o	(something) occurs to you	["If%20something%20occurs%20to%20you%2C%20you%20think%20of%20it.",""]	["I%20was%20surprised%20when%20I%20heard%20that%20Anne%20had%20quit.%20It%20had%20never%20occurred%20to%20me%20that%20she%20wasn%27t%20happy%20working%20here.","Has%20it%20ever%20occurred%20to%20you%20that%20your%20daughter%27s%20happiness%20is%20more%20important%20than%20what%20your%20friends%20might%20think%20if%20they%20know%20she%27s%20gay%3F"]
(your) bread and butter	["Your bread and butter is your livelihood or the source of your income.",""]	["Bartending is my bread and butter at the moment, but I'm trying to get into acting.","The conditions are bad, but this work is their bread and butter so make sure the workers have other jobs before you close down the factory."]				b,food,money	(your) bread and butter	["Your%20bread%20and%20butter%20is%20your%20livelihood%20or%20the%20source%20of%20your%20income.",""]	["Bartending%20is%20my%20bread%20and%20butter%20at%20the%20moment%2C%20but%20I%27m%20trying%20to%20get%20into%20acting.","The%20conditions%20are%20bad%2C%20but%20this%20work%20is%20their%20bread%20and%20butter%20so%20make%20sure%20the%20workers%20have%20other%20jobs%20before%20you%20close%20down%20the%20factory."]
(your) hands are tied	["You can say your hands are tied if you're prevented from doing something that you'd normally have the power or the authority to do.",""]	["The president says he'd like to spend more on schools in poor districts, but says his hands are tied by what he calls \"budgetary restrictions\".","I'd really like to give you the contract, Mr Gambino, but my hands are tied because of those laws on giving contracts to people with criminal records."]				body,h	(your) hands are tied	["You%20can%20say%20your%20hands%20are%20tied%20if%20you%27re%20prevented%20from%20doing%20something%20that%20you%27d%20normally%20have%20the%20power%20or%20the%20authority%20to%20do.",""]	["The%20president%20says%20he%27d%20like%20to%20spend%20more%20on%20schools%20in%20poor%20districts%2C%20but%20says%20his%20hands%20are%20tied%20by%20what%20he%20calls%20%5C%22budgetary%20restrictions%5C%22.","I%27d%20really%20like%20to%20give%20you%20the%20contract%2C%20Mr%20Gambino%2C%20but%20my%20hands%20are%20tied%20because%20of%20those%20laws%20on%20giving%20contracts%20to%20people%20with%20criminal%20records."]
(your) heart goes out to (someone)	["If your heart goes out to someone, you feel great sympathy for them.",""]	["We're so sorry to hear of your loss, and our hearts go out to you in this difficult time.","My heart went out to Kerry when I heard that her dog had died. I know how much she loved him."]				body,h	(your) heart goes out to (someone)	["If%20your%20heart%20goes%20out%20to%20someone%2C%20you%20feel%20great%20sympathy%20for%20them.",""]	["We%27re%20so%20sorry%20to%20hear%20of%20your%20loss%2C%20and%20our%20hearts%20go%20out%20to%20you%20in%20this%20difficult%20time.","My%20heart%20went%20out%20to%20Kerry%20when%20I%20heard%20that%20her%20dog%20had%20died.%20I%20know%20how%20much%20she%20loved%20him."]
(your) heart is in the right place	["If your heart is in the right place, you try to do the right thing, even if things don't always work out for the best.",""]	["His heart was in the right place when he raised everyone's salaries, but in the end it meant some people lost their jobs.","Bill's heart's in the right place, and he means well, but he sometimes upsets people by being too direct when he speaks."]				body,h	(your) heart is in the right place	["If%20your%20heart%20is%20in%20the%20right%20place%2C%20you%20try%20to%20do%20the%20right%20thing%2C%20even%20if%20things%20don%27t%20always%20work%20out%20for%20the%20best.",""]	["His%20heart%20was%20in%20the%20right%20place%20when%20he%20raised%20everyone%27s%20salaries%2C%20but%20in%20the%20end%20it%20meant%20some%20people%20lost%20their%20jobs.","Bill%27s%20heart%27s%20in%20the%20right%20place%2C%20and%20he%20means%20well%2C%20but%20he%20sometimes%20upsets%20people%20by%20being%20too%20direct%20when%20he%20speaks."]
(your) heart isn't in it	["If your heart isn't in something you're doing, you don't really want to do it.",""]	["Ali was studying to be a doctor, but his heart wasn't in it so he decided to follow his real dream and study film-making instead.","We could tell that Sally's heart wasn't in it when she tried singing jazz, so we said she should stick to pop songs."]				body,h	(your) heart isn't in it	["If%20your%20heart%20isn%27t%20in%20something%20you%27re%20doing%2C%20you%20don%27t%20really%20want%20to%20do%20it.",""]	["Ali%20was%20studying%20to%20be%20a%20doctor%2C%20but%20his%20heart%20wasn%27t%20in%20it%20so%20he%20decided%20to%20follow%20his%20real%20dream%20and%20study%20film-making%20instead.","We%20could%20tell%20that%20Sally%27s%20heart%20wasn%27t%20in%20it%20when%20she%20tried%20singing%20jazz%2C%20so%20we%20said%20she%20should%20stick%20to%20pop%20songs."]
